fecha,ipc,vm,va,vac
01/01/1999,53.34,0.02223074,0.17179262,0.02223074
01/02/1999,54.24,0.01687289,0.15379706,0.03947873
01/03/1999,54.75,0.00940266,0.13495025,0.04925259
01/04/1999,55.18,0.00785388,0.11160355,0.05749329
01/05/1999,55.45,0.00489308,0.09998016,0.06266769
01/06/1999,55.6,0.00270514,0.08955516,0.06554235
01/07/1999,55.77,0.00305755,0.08777063,0.06880031
01/08/1999,56.05,0.00502062,0.09280562,0.07416635
01/09/1999,56.24,0.00338983,0.0933126,0.07780759
1/10/1999,56.43,0.00337838,0.09318094,0.08144883
1/11/1999,56.7,0.00478469,0.09649971,0.08662323
1/12/1999,57,0.00529101,0.09237256,0.09237256
01/01/2000,57.74,0.01298246,0.08248969,0.01298246
01/02/2000,59.07,0.02303429,0.08904867,0.03631579
01/03/2000,60.08,0.01709836,0.0973516,0.05403509
01/04/2000,60.68,0.00998668,0.0996738,0.0645614
01/05/2000,60.99,0.00510877,0.09990983,0.07
01/06/2000,60.98,-0.00016396,0.09676259,0.06982456
01/07/2000,60.96,-0.00032798,0.09306079,0.06947368
01/08/2000,61.15,0.0031168,0.09099019,0.07280702
01/09/2000,61.41,0.00425184,0.09192745,0.07736842
1/10/2000,61.5,0.00146556,0.08984583,0.07894737
1/11/2000,61.71,0.00341463,0.08835979,0.08263158
1/12/2000,61.99,0.00453735,0.08754386,0.08754386
01/01/2001,62.64,0.01048556,0.08486318,0.01048556
01/02/2001,63.83,0.01899745,0.08058236,0.02968221
01/03/2001,64.77,0.01472662,0.07806258,0.04484594
01/04/2001,65.51,0.01142504,0.07959789,0.05678335
01/05/2001,65.79,0.00427416,0.07870143,0.06130021
01/06/2001,65.82,0.000456,0.07937029,0.06178416
01/07/2001,65.89,0.00106351,0.0808727,0.06291337
01/08/2001,66.06,0.00258006,0.08029436,0.06565575
01/09/2001,66.3,0.00363306,0.07962873,0.06952734
1/10/2001,66.43,0.00196078,0.0801626,0.07162446
1/11/2001,66.5,0.00105374,0.07762113,0.07275367
1/12/2001,66.73,0.00345865,0.07646395,0.07646395
01/01/2002,67.26,0.00794246,0.07375479,0.00794246
01/02/2002,68.11,0.01263753,0.06705311,0.02068035
01/03/2002,68.59,0.00704742,0.05897792,0.02787352
01/04/2002,69.22,0.00918501,0.05663258,0.03731455
01/05/2002,69.63,0.00592314,0.05836753,0.04345871
01/06/2002,69.93,0.00430849,0.06244303,0.04795444
01/07/2002,69.94,0.000143,0.06146608,0.0481043
01/08/2002,70.01,0.00100086,0.05979413,0.0491533
01/09/2002,70.26,0.00357092,0.05972851,0.05289975
1/10/2002,70.66,0.00569314,0.06367605,0.05889405
1/11/2002,71.2,0.00764223,0.07067669,0.06698636
1/12/2002,71.4,0.00280899,0.06998352,0.06998352
01/01/2003,72.23,0.01162465,0.07389236,0.01162465
01/02/2003,73.04,0.01121418,0.07238291,0.02296919
01/03/2003,73.8,0.01040526,0.0759586,0.03361345
01/04/2003,74.65,0.01151762,0.07844554,0.04551821
01/05/2003,75.01,0.00482251,0.07726555,0.05056022
01/06/2003,74.97,-0.00053326,0.07207207,0.05
01/07/2003,74.86,-0.00146725,0.07034601,0.04845938
01/08/2003,75.1,0.00320599,0.0727039,0.05182073
01/09/2003,75.26,0.00213049,0.07116425,0.05406163
1/10/2003,75.31,0.00066436,0.0658081,0.05476191
1/11/2003,75.57,0.0034524,0.0613764,0.05840336
1/12/2003,76.03,0.00608707,0.06484594,0.06484594
01/01/2004,76.7,0.00881231,0.06188564,0.00881231
01/02/2004,77.62,0.01199479,0.06270537,0.0209128
01/03/2004,78.39,0.00992012,0.06219512,0.03104038
01/04/2004,78.74,0.00446486,0.05478902,0.03564383
01/05/2004,79.04,0.00381001,0.05372617,0.03958964
01/06/2004,79.52,0.00607287,0.06069094,0.04590293
01/07/2004,79.5,-0.00025151,0.06198237,0.04563988
01/08/2004,79.52,0.00025157,0.05885486,0.04590293
01/09/2004,79.76,0.00301811,0.05979272,0.04905958
1/10/2004,79.75,-0.00012538,0.05895631,0.04892806
1/11/2004,79.97,0.00275862,0.05822416,0.05182165
1/12/2004,80.21,0.00300113,0.0549783,0.0549783
01/01/2005,80.87,0.0082284,0.05436767,0.0082284
01/02/2005,81.7,0.01026339,0.05256377,0.01857624
01/03/2005,82.33,0.00771114,0.05026151,0.02643062
01/04/2005,82.69,0.00437265,0.0501651,0.03091884
01/05/2005,83.03,0.00411174,0.05048077,0.03515771
01/06/2005,83.36,0.00397447,0.04828974,0.03927191
01/07/2005,83.4,0.00047985,0.0490566,0.0397706
01/08/2005,83.4,0,0.04879276,0.0397706
01/09/2005,83.76,0.00431655,0.05015045,0.04425882
1/10/2005,83.95,0.00226839,0.05266458,0.0466276
1/11/2005,84.05,0.00119119,0.05101913,0.04787433
1/12/2005,84.1,0.00059488,0.04849769,0.04849769
01/01/2006,84.56,0.00546968,0.04562879,0.00546968
01/02/2006,85.11,0.00650426,0.04173807,0.01200951
01/03/2006,85.71,0.0070497,0.04105429,0.01914388
01/04/2006,86.1,0.00455023,0.04123836,0.02378121
01/05/2006,86.38,0.00325203,0.04034686,0.02711058
01/06/2006,86.64,0.00300996,0.03934741,0.03020214
01/07/2006,87,0.00415513,0.04316547,0.03448276
01/08/2006,87.34,0.00390805,0.04724221,0.03852557
01/09/2006,87.59,0.00286238,0.04572588,0.04149822
1/10/2006,87.46,-0.00148419,0.0418106,0.03995244
1/11/2006,87.67,0.0024011,0.0430696,0.04244947
1/12/2006,87.87,0.00228128,0.04482759,0.04482759
01/01/2007,88.54,0.0076249,0.04706717,0.0076249
01/02/2007,89.58,0.0117461,0.05252027,0.01946057
01/03/2007,90.67,0.0121679,0.05786956,0.03186526
01/04/2007,91.48,0.0089335,0.06248548,0.04108342
01/05/2007,91.76,0.00306078,0.06228294,0.04426994
01/06/2007,91.87,0.00119878,0.06036473,0.04552179
01/07/2007,92.02,0.00163274,0.05770115,0.04722886
01/08/2007,91.9,-0.00130406,0.05220976,0.04586321
01/09/2007,91.97,0.0007617,0.05000571,0.04665984
1/10/2007,91.98,0.00010873,0.05168077,0.04677364
1/11/2007,92.42,0.00478365,0.05418045,0.05178104
1/12/2007,92.87,0.00486908,0.05690224,0.05690224
01/01/2008,93.85,0.01055239,0.05997289,0.01055239
01/02/2008,95.27,0.01513053,0.06351864,0.02584258
01/03/2008,96.04,0.00808229,0.05922576,0.03413374
01/04/2008,96.72,0.00708038,0.05728028,0.0414558
01/05/2008,97.62,0.00930521,0.06386225,0.05114676
01/06/2008,98.47,0.00870723,0.07184064,0.06029934
01/07/2008,98.94,0.00477303,0.07520104,0.06536018
01/08/2008,99.13,0.00192036,0.07867247,0.06740605
01/09/2008,98.94,-0.00191668,0.07578558,0.06536018
1/10/2008,99.28,0.00343643,0.07936508,0.06902121
1/11/2008,99.56,0.00282031,0.07725601,0.07203618
1/12/2008,100,0.00441945,0.07677399,0.07677399
01/01/2009,100.59,0.0059,0.07181673,0.0059
01/02/2009,101.43,0.00835073,0.06465834,0.0143
01/03/2009,101.94,0.0050281,0.06143274,0.0194
01/04/2009,102.26,0.0031391,0.05727874,0.0226
01/05/2009,102.28,0.00019558,0.04773612,0.0228
01/06/2009,102.22,-0.00058663,0.03808267,0.0222
01/07/2009,102.18,-0.00039131,0.03274712,0.0218
01/08/2009,102.23,0.00048933,0.03127207,0.0223
01/09/2009,102.12,-0.00107601,0.03214069,0.0212
1/10/2009,101.98,-0.00137094,0.02719581,0.0198
1/11/2009,101.92,-0.00058835,0.0237043,0.0192
1/12/2009,102,0.00078493,0.02,0.02
01/01/2010,102.7,0.00686275,0.02097624,0.00686275
01/02/2010,103.55,0.00827653,0.02090111,0.01519608
01/03/2010,103.81,0.00251086,0.01834412,0.0177451
01/04/2010,104.29,0.00462383,0.01985136,0.02245098
01/05/2010,104.4,0.00105475,0.02072742,0.02352941
01/06/2010,104.52,0.00114943,0.02250049,0.02470588
01/07/2010,104.47,-0.00047838,0.02241143,0.02421569
01/08/2010,104.59,0.00114866,0.0230852,0.02539216
01/09/2010,104.45,-0.00133856,0.0228163,0.02401961
1/10/2010,104.36,-0.00086166,0.02333791,0.02313726
1/11/2010,104.56,0.00191644,0.02590267,0.02509804
1/12/2010,105.24,0.00650344,0.03176471,0.03176471
01/01/2011,106.19,0.00902699,0.03398247,0.00902699
01/02/2011,106.83,0.00602693,0.03167552,0.01510832
01/03/2011,107.12,0.00271459,0.03188518,0.01786393
01/04/2011,107.25,0.00121359,0.0283824,0.0190992
01/05/2011,107.55,0.0027972,0.03017241,0.02194983
01/06/2011,107.9,0.0032543,0.03233831,0.02527556
01/07/2011,108.05,0.00139018,0.03426821,0.02670087
01/08/2011,108.01,-0.0003702,0.03269911,0.02632079
01/09/2011,108.35,0.00314786,0.03733844,0.0295515
1/10/2011,108.55,0.00184587,0.04014948,0.03145192
1/11/2011,108.7,0.00138185,0.03959449,0.03287723
1/12/2011,109.16,0.00423183,0.0372482,0.0372482
01/01/2012,109.96,0.00732869,0.0355024,0.00732869
01/02/2012,110.63,0.00609313,0.03557053,0.01346647
01/03/2012,110.76,0.00117509,0.03398058,0.01465738
01/04/2012,110.92,0.00144457,0.03421911,0.01612312
01/05/2012,111.25,0.00297512,0.0344026,0.01914621
01/06/2012,111.35,0.00089888,0.03197405,0.02006229
01/07/2012,111.32,-0.00026942,0.03026377,0.01978747
01/08/2012,111.37,0.00044916,0.03110823,0.02024551
01/09/2012,111.69,0.00287331,0.03082603,0.02317699
1/10/2012,111.87,0.0016116,0.03058498,0.02482594
1/11/2012,111.72,-0.00134084,0.02778289,0.02345181
1/12/2012,111.82,0.0008951,0.0243679,0.0243679
01/01/2013,112.15,0.00295117,0.01991633,0.00295117
01/02/2013,112.65,0.00445832,0.01825906,0.00742264
01/03/2013,112.88,0.00204172,0.01914048,0.00947952
01/04/2013,113.16,0.00248051,0.02019474,0.01198355
01/05/2013,113.48,0.00282785,0.02004494,0.01484529
01/06/2013,113.75,0.00237927,0.02155366,0.01725988
01/07/2013,113.8,0.00043956,0.02227812,0.01770703
